T32,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
12,Algeria,2005,Percentage of individuals using the internet,5.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
12,Algeria,2010,Percentage of individuals using the internet,12.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
12,Algeria,2015,Percentage of individuals using the internet,38.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
12,Algeria,2018,Percentage of individuals using the internet,49.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
12,Algeria,2019,Percentage of individuals using the internet,57.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
12,Algeria,2020,Percentage of individuals using the internet,62.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
20,Andorra,2000,Percentage of individuals using the internet,10.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
20,Andorra,2005,Percentage of individuals using the internet,37.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
20,Andorra,2010,Percentage of individuals using the internet,81.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
20,Andorra,2015,Percentage of individuals using the internet,87.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
24,Angola,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
24,Angola,2005,Percentage of individuals using the internet,1.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
24,Angola,2010,Percentage of individuals using the internet,2.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
24,Angola,2015,Percentage of individuals using the internet,22.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
24,Angola,2018,Percentage of individuals using the internet,29.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
24,Angola,2019,Percentage of individuals using the internet,32.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
24,Angola,2020,Percentage of individuals using the internet,36.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
660,Anguilla,2000,Percentage of individuals using the internet,22.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
660,Anguilla,2005,Percentage of individuals using the internet,29.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
