T31,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
64,Bhutan,2020,Patents in force (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
68,Bolivia (Plurin. State of),1985,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
68,Bolivia (Plurin. State of),1995,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
68,Bolivia (Plurin. State of),1985,Grants of patents (number),62,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
68,Bolivia (Plurin. State of),1995,Grants of patents (number),47,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
70,Bosnia and Herzegovina,2005,Grants of patents (number),46,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
70,Bosnia and Herzegovina,2010,Grants of patents (number),173,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
70,Bosnia and Herzegovina,2018,Grants of patents (number),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
70,Bosnia and Herzegovina,2019,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
70,Bosnia and Herzegovina,2020,Grants of patents (number),18,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
70,Bosnia and Herzegovina,2005,Patents in force (number),120,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
70,Bosnia and Herzegovina,2010,Patents in force (number),716,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
70,Bosnia and Herzegovina,2018,Patents in force (number),234,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
70,Bosnia and Herzegovina,2019,Patents in force (number),184,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
70,Bosnia and Herzegovina,2020,Patents in force (number),160,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
72,Botswana,2018,Patents in force (number),"2,038",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
72,Botswana,2019,Patents in force (number),"2,040",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,1985,Resident patent filings (per million population),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,1995,Resident patent filings (per million population),17,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2005,Resident patent filings (per million population),22,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2010,Resident patent filings (per million population),22,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2018,Resident patent filings (per million population),24,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2019,Resident patent filings (per million population),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2020,Resident patent filings (per million population),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,1985,Grants of patents (number),"3,934",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,1995,Grants of patents (number),"2,659",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2005,Grants of patents (number),"2,439",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2010,Grants of patents (number),"3,251",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2018,Grants of patents (number),"9,966",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2019,Grants of patents (number),"10,947",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2020,Grants of patents (number),"20,407",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2005,Patents in force (number),"32,571",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2010,Patents in force (number),"40,022",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2018,Patents in force (number),"31,977",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2019,Patents in force (number),"39,538",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
76,Brazil,2020,Patents in force (number),"57,942",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
96,Brunei Darussalam,1995,Grants of patents (number),42,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
96,Brunei Darussalam,2005,Grants of patents (number),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
96,Brunei Darussalam,2010,Grants of patents (number),40,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
96,Brunei Darussalam,2018,Grants of patents (number),43,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
96,Brunei Darussalam,2019,Grants of patents (number),50,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
96,Brunei Darussalam,2020,Grants of patents (number),27,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
96,Brunei Darussalam,2018,Patents in force (number),399,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
96,Brunei Darussalam,2019,Patents in force (number),540,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
96,Brunei Darussalam,2020,Patents in force (number),652,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,1995,Resident patent filings (per million population),44,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2005,Resident patent filings (per million population),36,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2010,Resident patent filings (per million population),34,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2018,Resident patent filings (per million population),30,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2019,Resident patent filings (per million population),32,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2020,Resident patent filings (per million population),42,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,1985,Grants of patents (number),130,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,1995,Grants of patents (number),375,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2005,Grants of patents (number),313,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2010,Grants of patents (number),251,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2018,Grants of patents (number),181,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2019,Grants of patents (number),195,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2020,Grants of patents (number),215,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2005,Patents in force (number),"2,203",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2010,Patents in force (number),"6,812",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2018,Patents in force (number),"13,393",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2019,Patents in force (number),"14,342",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
100,Bulgaria,2020,Patents in force (number),"14,790",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2022."
